0,13.9
0.1,3.50522
0.2,-1.2955
0.3,-2.31545
0.4,-0.930956
0.5,1.83562
0.6,5.24542
0.7,8.7837
0.8,12.1102
0.9,15.0181
1,17.4
1.1,19.2206
1.2,20.4946
1.3,21.2695
1.4,21.612
1.5,21.598
1.6,21.3049
1.7,20.8063
1.8,20.1692
1.9,19.4512
2,18.7
2.1,17.9533
2.2,17.2391
2.3,16.5771
2.4,15.9792
2.5,15.4513
2.6,14.9946
2.7,14.6065
2.8,14.2823
2.9,14.0156
3,13.8
3.1,13.6289
3.2,13.4965
3.3,13.398
3.4,13.33
3.5,13.2901
3.6,13.2772
3.7,13.291
3.8,13.332
3.9,13.4014
4,13.5
4.1,13.6289
4.2,13.7883
4.3,13.978
4.4,14.1967
4.5,14.4419
4.6,14.7101
4.7,14.9964
4.8,15.2949
4.9,15.5987
5,15.9
5.1,16.1905
5.2,16.4618
5.3,16.7052
5.4,16.9129
5.5,17.0775
5.6,17.193
5.7,17.2548
5.8,17.2601
5.9,17.2081
6,17.1
6.1,16.9395
6.2,16.7326
6.3,16.4872
6.4,16.2134
6.5,15.9231
6.6,15.6292
6.7,15.3458
6.8,15.0873
6.9,14.8676
7,14.7
7.1,14.596
7.2,14.5649
7.3,14.6133
7.4,14.7441
7.5,14.9563
7.6,15.2448
7.7,15.5998
7.8,16.007
7.9,16.4479
8,16.9
8.1,17.3378
8.2,17.7335
8.3,18.0586
8.4,18.2851
8.5,18.3877
8.6,18.3455
8.7,18.1446
8.8,17.7801
8.9,17.2585
9,16.6
9.1,15.8404
9.2,15.0325
9.3,14.2466
9.4,13.5705
9.5,13.1078
9.6,12.9745
9.7,13.2934
9.8,14.1861
9.9,15.7614
10,18.1
10.1,21.2345
10.2,25.1238
10.3,29.6211
10.4,34.4343
10.5,39.078
10.6,42.8155
10.7,44.589
10.8,42.9375
10.9,35.8995
11,20.9
